describe,name,title
项目持续交付,王老师,DevOps Master
12306抢票app后端项目,姚老师,12306抢票开源作者
餐掌柜项目,王老师,国美
python基础双元课程,谢老师,10年经验
美多商城,史老师,技术达人
《高级软件工程师课程》,李老师,华为
数据库原理,王老师,北大毕业
餐掌柜项目,娄老师,大唐高鸿
微服务课程,周老师, 方正国际
经典前端视频教程,刘老师,10年经验 
3D播放眼睛,江老师,10年开发经验
《高级软件工程师课程》,钱老师,京东 
电商数据采集,杨老师,自动化数据采集专家
《高级软件工程师课程》,任老师,阿里
千亿级数仓项目,周老师,IBM
千亿级数仓项目,孟老师,京东
新经资讯,冀老师,前后端精通
今日指数证券大数据项目,张老师,上交所
利安社区,惠老师,移动端架构师
爱游网项目,谭老师,腾讯
月月摇H5设计项目,李老师, lofter认证
黑马头条,李老师,好未来
PS基础课程、优选网APP项目、Sketch实战、数智慧B端,高老师,腾讯、UI中国
早期设计学科视觉部分的全套课程体系,李老师,UI设计学科负责人
安享智慧理财项目研发,肖老师,小红书
架构师课程,魏老师,IT名企架构师
小米莉、志高空调、凌志咖啡机等电商设计项目课程,杨老师,阿里巴巴
新媒体运营增长模型,骆老师,金山WPS
web综合案例研发,张老师,中考评卷系统
长城宽带新媒体矩阵 ,朱老师,长城宽带
微服务架构,陈老师,宜信
架构师课程,冯老师,IT名企架构师
知行在线教育项目,孔老师,途牛网
架构师课程,惠老师,IT名企架构师
立可得项目,刘老师,IT名企架构师
JavaSE课程,刘老师,高级架构师
Ego微商小程序项目,朱老师,京东
架构师课程,沈老师,三维度
双元课程V10.0,许老师,高德
十次方项目,许老师,10年开发经验
《传智云课堂》,刘老师,5年经验
《黑马DevOps中台》,赵老师,DevOps Master
机器学习，数据分析课程,赵老师,博士
Spring,张老师,架构师
Redis,杨老师,北大方正
万信金融项目课程,张老师,中国银行
git,徐老师,华为鼎桥
传智健康项目,杨老师,尚德机构
springboot,李老师,9年经验
springboot,凡老师,8年经验
Ego微商小程序项目,朱老师,京东
架构师课程,王老师,新东方
JavaWeb,陈老师,国家电网
架构师课程,惠老师,IT名企架构师
接口测试V3.0课程升级,毛老师,平安金融
架构师课程,沈老师,三维度
Febo Monitor 前端监控系统课程,朱老师,爱奇艺
物流项目,张老师,10年软件开发经验
黑马面面移动端 ,董老师,华为
JavaSE课程,陈老师,7年经验
架构师课程,束老师,紫光国信 
星途车联网项目,魏老师,Flink技术专家
新浪微博系统,原老师,中新网
速运快递项目,曾老师,10年软件开发经验
微信小游戏,乐老师,12年研发经验
接口测试V3.0课程升级,毛老师,平安金融
通用网关项目,吴老师,13年软件开发经验
通用网关项目,张老师,8年研发经验
NLP基础课程,朱老师,多年开发经验
架构师课程,白老师,11年研发经验
CorelDRAW,李老师,搜狐畅游
Flink课程,张老师,Flink技术专家
通用权限系统课程,赵老师,IT名企架构师
交互设计,刘老师,京东
JavaV12.0 基础课程,郝老师,高级架构师
智牛股金融项目,贺老师,上市公司
架构师课程,郝老师,融商
人工智能家居系统开发,张老师,中国移动
智慧交通项目,姚老师,硕士
基础造型课程,张老师,百度，中国银行，首席设计师
webpack 基础课程 ,刘老师,MAITROX
架构师课程,满老师,15年经验
智绘网项目从0到1,刘老师,百度，搜狐，汽车之家
TMS系统开发,王老师,中科软TL
 Vue 原理进阶课程,凡老师,京东商城
黑马头条项目课程,罗老师,日立
电商设计新课程，年货节手绘课程,刘老师,acaa设计专家，adobe认证设计师
前端Ajax,刘老师,蓝尔科技
电商项目课程,冀老师, 思博斯科技
黑马面面移动端 ,董老师,华为
物流项目,张老师,10年软件开发经验
电商全端项目,周老师,孔夫子 电商方案专家
架构师课程,王老师,新东方
 黑马头条 PC 管理项目,高老师,用友
kubernetes从入门到企业应用实战课程,唐老师,容器化应用布道师
ElasticSerach,吕老师,美国Newegg.com
redis课程,李老师,IBM
传智大脑,周老师,硕士 
数据库原理,王老师,北大毕业
项目持续交付,王老师,DevOps Master
经典前端视频教程,刘老师,10年经验 
餐掌柜项目,王老师,国美
美多商城,史老师,技术达人
餐掌柜项目,娄老师,大唐高鸿
微服务课程,周老师, 方正国际
《高级软件工程师课程》,李老师,华为
python基础双元课程,谢老师,10年经验
12306抢票app后端项目,姚老师,12306抢票开源作者
《高级软件工程师课程》,钱老师,京东 
电商数据采集,杨老师,自动化数据采集专家
《高级软件工程师课程》,任老师,阿里
利安社区,惠老师,移动端架构师
新经资讯,冀老师,前后端精通
千亿级数仓项目,孟老师,京东
3D播放眼睛,江老师,10年开发经验
千亿级数仓项目,周老师,IBM
爱游网项目,谭老师,腾讯
今日指数证券大数据项目,张老师,上交所
月月摇H5设计项目,李老师, lofter认证
黑马头条,李老师,好未来
新媒体运营增长模型,骆老师,金山WPS
长城宽带新媒体矩阵 ,朱老师,长城宽带
安享智慧理财项目研发,肖老师,小红书
web综合案例研发,张老师,中考评卷系统
早期设计学科视觉部分的全套课程体系,李老师,UI设计学科负责人
架构师课程,魏老师,IT名企架构师
PS基础课程、优选网APP项目、Sketch实战、数智慧B端,高老师,腾讯、UI中国
小米莉、志高空调、凌志咖啡机等电商设计项目课程,杨老师,阿里巴巴
知行在线教育项目,孔老师,途牛网
Ego微商小程序项目,朱老师,京东
微服务架构,陈老师,宜信
架构师课程,沈老师,三维度
JavaSE课程,刘老师,高级架构师
立可得项目,刘老师,IT名企架构师
架构师课程,冯老师,IT名企架构师
架构师课程,惠老师,IT名企架构师
双元课程V10.0,许老师,高德
十次方项目,许老师,10年开发经验
《传智云课堂》,刘老师,5年经验
《黑马DevOps中台》,赵老师,DevOps Master
Spring,张老师,架构师
机器学习，数据分析课程,赵老师,博士
万信金融项目课程,张老师,中国银行
JavaWeb,陈老师,国家电网
git,徐老师,华为鼎桥
传智健康项目,杨老师,尚德机构
Redis,杨老师,北大方正
springboot,李老师,9年经验
springboot,凡老师,8年经验
JavaSE课程,陈老师,7年经验
架构师课程,王老师,新东方
架构师课程,沈老师,三维度
架构师课程,惠老师,IT名企架构师
黑马面面移动端 ,董老师,华为
Febo Monitor 前端监控系统课程,朱老师,爱奇艺
接口测试V3.0课程升级,毛老师,平安金融
Ego微商小程序项目,朱老师,京东
物流项目,张老师,10年软件开发经验
接口测试V3.0课程升级,毛老师,平安金融
星途车联网项目,魏老师,Flink技术专家
新浪微博系统,原老师,中新网
NLP基础课程,朱老师,多年开发经验
速运快递项目,曾老师,10年软件开发经验
架构师课程,白老师,11年研发经验
架构师课程,束老师,紫光国信 
通用网关项目,吴老师,13年软件开发经验
通用网关项目,张老师,8年研发经验
Flink课程,张老师,Flink技术专家
微信小游戏,乐老师,12年研发经验
CorelDRAW,李老师,搜狐畅游
通用权限系统课程,赵老师,IT名企架构师
交互设计,刘老师,京东
JavaV12.0 基础课程,郝老师,高级架构师
智牛股金融项目,贺老师,上市公司
基础造型课程,张老师,百度，中国银行，首席设计师
架构师课程,郝老师,融商
